contigName	contigLen	totalAvgDepth	0.bam	0.bam-var	1.bam	1.bam-var	2.bam	2.bam-var	3.bam	3.bam-var	4.bam	4.bam-var
contig_2831	44187	507.278	90.8387	384.115	74.8593	209.008	35.3017	50.0077	90.7968	388.082	215.482	1388.18
contig_2832	6401	61.2657	14.2948	52.9002	7.56407	12.354	0	0	13.9418	52.7762	25.465	70.0619
contig_2837	3653	62.7765	15.2723	50.71	10.8821	25.6973	0	0	15.9129	50.8941	20.7091	39.0119
contig_2839	29995	201.675	39.7318	2568.59	29.594	1063.12	11.536	156.806	39.6932	2551.91	81.1196	8055.87
contig_284	3716	79.3093	8.65956	8.18973	9.84857	9.82558	14.0457	28.2975	7.659	5.65086	39.0965	234.718
contig_2840	10535	94.9894	19.8796	37.6365	14.5314	40.1969	0	0	20.7456	50.138	39.8327	184.499
contig_2842	47079	112.996	21.3148	320.374	17.6403	260.601	6.46941	20.4075	21.2886	320.468	46.2831	1639.63
contig_2846	2031	157.331	33.5997	80.7974	25.4418	76.5232	3.95853	1.08338	33.6029	70.8264	60.7278	283.305
contig_2848	175342	422.099	79.736	176.57	62.6545	97.3957	30.6528	32.0326	79.7216	176.919	169.334	629.463
contig_285	57046	501.372	42.4301	185.345	73.9597	599.028	160.435	2160.57	42.6194	184.686	181.927	2979.45
contig_2850	23215	74.034	14.233	88.4094	9.73935	46.7111	8.80178	5.62072	14.2969	92.4098	26.9629	190.598
contig_2853	3212	76.097	14.3508	14.099	13.1061	3.34941	3.27727	1.95541	14.3508	14.099	31.0121	5.20633
contig_2855	26410	185.861	32.8937	952.212	30.9703	822.116	9.35705	88.1907	32.7166	919.416	79.9232	4674.42
contig_2857	11692	80.4212	14.3927	40.8945	13.1194	32.6144	5.62069	7.66977	13.9606	48.7441	33.3279	151.984
contig_2858	622	214.769	45.7564	10.1762	33.4767	10.2839	3.98093	0.600487	45.7564	10.1762	85.7987	21.5199
contig_286	454072	145.24	17.7942	33.3625	22.672	42.7731	32.507	91.7445	17.7813	33.8221	54.486	221.52
contig_2861	526	341.691	68.3484	37.5609	42.0505	13.0347	18.5399	1.60907	68.3484	37.5609	144.404	142.119
contig_2862	3522	39.2521	3.83482	2.78107	7.21797	1.57067	2.62841	0.542675	3.83482	2.78107	21.7361	7.81098
contig_2863	2658	309.618	55.6718	67.4827	53.7819	51.2568	13.4135	9.50715	56.191	70.2115	130.56	221.974
contig_2864	44099	334.616	63.8152	918.03	50.7739	577.284	22.5303	69.0256	63.6939	925.705	133.802	3978.53
contig_2866	77852	59.7726	7.73394	19.0058	7.97299	14.5057	14.2328	29.6436	7.73394	19.0058	22.0989	48.813
contig_2867	52903	76.0588	10.9899	38.5339	12.0484	51.0359	15.6512	763.947	10.9721	38.6061	26.3972	366.77
contig_2868	21435	97.7324	10.5322	179.677	14.8622	305.511	25.3593	1219.41	10.6016	177.676	36.3773	1956.36
contig_287	55514	128.205	12.5749	59.534	16.3991	97.0383	38.6765	309.127	12.7174	60.8254	47.8375	748.827
contig_2871	50971	422.847	40.0718	76.0034	59.4923	75.1799	121.545	289.218	40.087	76.6375	161.65	444.022
contig_2872	2424	344.626	28.3804	45.452	42.2304	50.5562	124.321	645.877	29.1847	44.4692	120.509	677.878
contig_2873	142408	84.2032	9.57116	21.1846	12.4097	40.7363	23.1995	68.3302	9.57114	21.151	29.4516	146.799
contig_2875	14088	175.056	20.2863	15.3374	23.7878	6.9048	47.2688	9.72774	20.2863	15.3374	63.4274	28.4168
contig_2876	37041	153.28	19.2771	76.6018	21.2299	117.426	42.6975	215.875	19.3629	74.8688	50.7122	470.555
contig_2877	29150	217.013	29.487	200.852	29.1927	218.49	49.6757	270.446	29.4043	202.394	79.253	1147.24
contig_2878	32116	52.6249	6.44097	5.64586	6.44319	3.8911	11.3634	6.84894	6.44097	5.64586	21.9364	35.9816
contig_2879	184071	47.8836	7.46948	9.02148	7.49872	10.0786	5.53402	4.82501	7.4626	8.965	19.9188	40.8013
contig_2880	12643	56.5385	10.8983	15.7155	7.213	3.21885	4.18586	4.24513	10.9089	15.6631	23.3325	30.1094
contig_2881	2240	32.6656	5.75837	0.879333	4.40861	0.462922	1.53062	0.25301	5.75837	0.879333	15.2096	2.56879
contig_2882	24717	52.0446	6.1373	24.967	8.3269	50.3297	12.3371	173.074	6.1373	24.967	19.106	203.165
contig_2884	31756	83.6736	9.44533	15.8336	11.379	7.25455	25.9394	15.0838	9.44533	15.8336	27.4645	16.3537
contig_2885	31609	74.4542	10.8381	84.7092	9.63387	80.112	14.4146	254.371	10.8452	85.0183	28.7224	565.065
contig_2888	11275	194.081	16.5571	12.8974	27.4522	11.1034	66.7382	21.1459	16.5297	13.526	66.8033	23.7717
contig_2889	4366	88.0695	9.08657	8.09201	20.1383	10.3186	11.0999	6.85317	9.21086	7.29455	38.5339	44.8888
contig_2891	25208	209.559	17.3137	7.07271	33.9294	45.8986	69.4352	51.4419	17.3717	6.66611	71.5088	67.5784
contig_2892	32818	86.2562	6.81251	10.3401	10.5088	7.70692	29.3958	71.7688	6.81251	10.3401	32.7266	40.619
contig_2896	3388	63.4759	13.2909	24.3747	10.6705	8.64802	0.489191	0.411232	13.2909	24.3747	25.7344	22.4749
contig_2899	197607	69.859	8.17687	182.968	9.97494	224.671	17.1694	432.488	8.16203	180.535	26.3758	1706.99
contig_29	19952	96.055	12.7935	15.35	12.8913	8.52643	18.7336	38.1557	12.7935	15.35	38.8431	142.897
contig_290	74700	144.93	15.6778	184.749	18.091	276.7	42.8548	1573.43	15.2112	162.401	53.0952	2203.83
contig_2900	11042	69.9051	7.17472	8.77624	6.1659	16.2313	22.6412	40.6801	7.17472	8.77624	26.7485	63.1142
contig_2902	21889	168.236	22.005	30.3356	24.3448	49.0057	35.4774	42.959	22.1357	33.4937	64.2735	259.445
contig_2903	17374	438.739	64.4929	298.975	61.8661	435.151	70.2418	683.394	64.5334	299.72	177.605	2193.12
contig_2904	32436	664.574	87.9189	689.287	101.635	523.309	122.72	915.363	88.018	662.24	264.282	4753.04
contig_2905	9061	98.3545	16.921	81.2201	18.4455	108.265	6.47178	9.33888	16.9648	82.3709	39.5515	229.729
contig_2906	1433	74.6952	9.14419	11.7912	9.87217	16.873	19.0538	18.8808	9.01013	7.57169	27.615	37.9483
contig_2908	2756	55.6531	9.07444	9.88468	6.73599	5.16023	6.47698	3.36588	9.07444	9.88468	24.2913	91.0456
contig_291	17006	72.1078	7.40745	9.16727	13.156	15.9151	22.6941	12.1966	7.44856	9.00943	21.4016	32.9179
contig_2912	11256	107.497	11.1625	24.9223	14.4364	40.374	23.7146	78.4231	11.1934	25.8668	46.9896	200.216
contig_2913	15821	146.059	16.2633	20.429	22.1699	43.1157	35.3706	33.2593	16.2969	21.4015	55.9583	258.248
contig_292	68719	352.272	30.9551	104.812	53.9105	237.884	98.7048	1225.46	30.9275	104.932	137.774	1588.86
contig_2920	17419	123.422	11.1411	92.5	18.2152	340.48	32.0854	1171.64	11.1522	92.5101	50.8277	2152.51
contig_293	3667	125.703	15.2843	30.7906	18.4831	26.0429	11.9511	3.21777	15.2602	31.047	64.7248	409.885
contig_2934	86767	65.6339	6.70214	26.1807	7.87049	37.0888	20.4056	146.681	6.68644	24.6905	23.9693	232.151
contig_2936	592737	186.342	18.3425	96.4412	25.3738	86.0569	57.7713	326.479	18.3488	97.6703	66.506	817.851
contig_2940	514407	55.608	10.5115	16.1903	8.27391	17.0489	6.60792	17.5521	10.5057	15.9483	19.709	59.0033
contig_2947	72117	266.908	28.1541	259.379	36.0047	482.315	72.8143	1913.41	28.1815	258.65	101.753	3443.05
contig_2949	2511	30.8543	3.99238	1.35418	4.0377	1.23206	10.2592	20.1642	4.40534	2.32753	8.15968	12.1045
contig_2950	8669	95.6157	16.373	40.0978	14.8865	14.8045	0.436084	0.245948	16.373	40.0978	47.547	106.98
contig_2951	2.3439e+06	325.915	38.6116	63.5397	45.0181	61.7333	86.089	201.273	38.6096	63.5381	117.587	280.122
contig_2953	16341	49.3358	8.0798	13.7144	7.42073	32.4975	8.04305	36.3089	8.17084	14.5538	17.6214	130.629
contig_2954	5536	64.1988	6.79465	5.49404	6.77831	3.40369	20.272	39.697	6.79688	5.50062	23.557	21.3654
contig_2955	22143	62.9262	10.0488	15.5395	8.76083	17.3663	9.60146	38.8917	10.1053	14.8453	24.4099	53.9316
contig_2956	31137	72.6024	4.49576	11.8142	9.19915	42.1967	29.0302	283.694	4.53668	12.1437	25.3406	266.529
contig_2957	30070	104.666	11.349	86.7949	14.4285	178.361	25.9621	286.075	11.3678	87.4524	41.5584	1053
contig_2959	13661	56.9146	5.02568	13.6805	9.27925	13.3771	17.9728	36.8146	5.51647	20.7713	19.1204	100.567
contig_296	42630	306.682	27.0792	145.574	44.9013	488.016	96.6542	610.315	26.6516	150.044	111.395	2409.18
contig_2960	19173	87.249	8.42144	88.8507	12.7757	113.457	30.2194	297.85	8.2988	92.5469	27.5337	1328.3
contig_2962	17223	82.3105	9.39601	13.7669	7.6819	9.35517	23.6155	46.2393	9.38136	14.4923	32.2357	128.216
contig_2964	1480	107.547	19.0113	11.2422	16.8594	6.06526	2.97143	2.5876	19.1376	22.2422	49.5669	11.5655
contig_2966	12006	97.5166	9.66591	18.6064	11.8443	61.1191	36.8594	349.964	9.93893	22.9747	29.2081	324.701
contig_2971	21050	50.353	8.04335	31.9986	6.96919	19.6967	5.21885	9.55478	7.70478	33.2572	22.4168	177.368
contig_2972	3809	236.414	44.8366	30.1011	38.2154	30.3954	13.6753	0.734927	44.8366	30.1011	94.85	102.396
contig_2976	6398	55.282	11.0688	44.6593	6.27785	23.0236	3.15045	12.0892	10.9525	45.1986	23.8324	172.707
contig_2978	50604	176.844	33.4357	333.733	25.6479	176.803	7.86187	13.6947	33.475	333.225	76.4232	1643.38
contig_298	38303	271.889	30.6068	697.414	37.0479	793.496	82.4028	3449.57	30.9947	712.365	90.8372	5250.69
contig_2980	3268	363.346	87.6546	48.7814	59.4461	19.2661	3.77486	0.264982	87.6546	48.7814	124.816	69.0405
contig_2982	1327	76.5531	14.1257	3.39404	10.0221	1.2223	2.8989	0.779723	14.1257	3.39404	35.3806	6.83466
contig_2983	289995	62.6382	11.822	21.0815	9.24509	12.6742	3.23595	3.92292	11.7923	19.6005	26.5429	62.3099
contig_2984	2477	46.9673	5.86635	4.56637	6.94972	4.83118	2.38547	0.590369	6.14224	4.85551	25.6236	11.3441
contig_2988	343542	63.5028	11.1233	20.6071	8.36966	18.5957	10.1553	39.3835	11.1251	20.5524	22.7296	69.4008
