contigName	contigLen	totalAvgDepth	0.bam	0.bam-var	1.bam	1.bam-var	2.bam	2.bam-var	3.bam	3.bam-var	4.bam	4.bam-var	5.bam	5.bam-var	6.bam	6.bam-var
contig_2259	9666	7.22541	4.45008	3.74952	0	0	2.77533	6.94306	0	0	0	0	0	0	0	0
contig_2260	8673	85.1328	7.36982	1.38418	18.9735	28.7516	0	0	0	0	27.3739	23.1303	0.166021	0.138493	31.2496	26.9246
contig_2261	11552	11.0183	10.1451	4.44773	0	0	0.12147	0.158306	0.0350816	0.033844	0.716716	4.84071	0	0	0	0
contig_2262	90947	230.415	43.7027	121.285	18.4235	129.054	50.2725	99.0392	0.818518	1.13799	30.5108	166.746	0.522848	0.621865	86.1645	1244.77
contig_2263	8023	85.7613	13.4061	35.0159	7.8298	26.3249	15.3649	172.723	0.188365	0.15291	12.4031	62.1691	0	0	36.569	138.831
contig_2264	90668	16.0378	8.67589	9.13106	0.0436598	0.0861806	0.606299	9.22331	0.00505977	0.00503624	5.06846	28.1463	0.386807	0.783006	1.25161	4.56928
contig_2265	647	1.87123	0.935614	0.0603619	0	0	0	0	0	0	0	0	0	0	0.935614	0.0603618
contig_2267	4207	5.58787	2.11659	1.1129	0.975598	2.00497	0	0	0	0	0.402761	1.21192	0	0	2.09293	11.6867
contig_2269	56306	5.44065	5.44065	5.64961	0	0	0	0	0	0	0	0	0	0	0	0
contig_2271	3792	36.0736	6.35118	0.966148	0	0	13.0231	2.77735	0	0	15.2845	6.38652	1.41488	0.944784	0	0
contig_2273	33493	5.6437	4.44813	10.0622	1.16465	13.4576	0	0	0.030921	0.0299737	0	0	0	0	0	0
contig_2274	29280	17.2287	5.0804	1.76928	0	0	0	0	0	0	0	0	0	0	12.1483	18.9978
contig_2275	33600	212.752	41.786	172.596	10.9175	248.603	46.1006	625.972	1.2096	1.01449	33.3703	431.814	0.0321076	0.0310635	79.3355	2170.17
contig_2276	661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
contig_2278	2165	35.2248	1.53499	0.856649	11.6139	22.9014	0.118114	0.104211	0	0	4.70769	1.19804	0.725558	0.19922	16.5246	24.5525
contig_2279	10013	17.0957	11.2182	3.88284	0.226402	0.404124	0	0	0	0	3.02869	35.6725	0	0	2.62243	30.2066
contig_2280	8748	5.21528	5.21528	1.09463	0	0	0	0	0	0	0	0	0	0	0	0
contig_2282	3372	73.5037	4.64525	1.8937	23.2554	12.6304	0	0	0	0	9.33426	4.18976	0.82247	0.673865	35.4463	40.927
contig_2283	13786	38.4061	36.1157	35.2947	0	0	0	0	0	0	2.07906	27.348	0	0	0.211279	1.60367
contig_2284	17436	2.81899	2.81899	0.731906	0	0	0	0	0	0	0	0	0	0	0	0
contig_2285	19070	9.1444	5.31374	3.60702	0.241543	0.424526	0.528383	0.923213	0.0926004	0.0840236	2.96813	18.8807	0	0	0	0
contig_2286	76037	26.8646	6.51181	7.32436	0.0256829	0.0637263	6.46391	43.2845	0	0	13.0991	76.1434	0.728241	0.920593	0.0358559	0.173825
contig_2287	12018	23.9191	3.42231	2.665	6.38161	62.8698	0.242669	0.452679	0	0	1.37285	3.10471	0.409842	0.602377	12.0898	131.84
contig_2288	57883	45.5307	8.49476	12.0569	17.362	146.482	5.66302	102.436	0.0380545	0.0374768	2.296	30.8394	0.208477	0.214584	11.4685	299.589
contig_2289	96241	4.21672	4.1946	3.20518	0	0	0	0	0	0	0.00765941	0.00760197	0.0144655	0.0142584	0	0
contig_2290	61764	4.30553	4.28375	4.2343	0.0078229	0.0077618	0.0139579	0.164403	0	0	0	0	0	0	0	0
contig_2291	34181	3.48018	3.46114	2.61616	0	0	0	0	0	0	0.00493668	0.00491799	0.0141048	0.0139111	0	0
contig_2292	6632	3.72539	3.6461	0.656727	0	0	0	0	0	0	0.0792965	0.0730186	0	0	0	0
contig_2293	4622	6.32759	6.32759	1.25728	0	0	0	0	0	0	0	0	0	0	0	0
contig_2294	3064	6.57378	6.57378	2.99717	0	0	0	0	0	0	0	0	0	0	0	0
contig_2295	4143	3.77035	2.92913	2.62553	0	0	0.163035	0.136479	0	0	0.381417	0.236008	0.207112	0.320538	0.0896569	0.081631
contig_2296	187268	9.63905	8.87831	12.0121	0.0196774	0.0193586	0.656244	0.545811	0.0106831	0.0105717	0.0193514	0.0190304	0.0547783	0.0654976	0	0
contig_2298	2160	24.5955	1.97214	0.810577	0.482587	0.665964	0	0	0	0	0	0	0	0	22.1408	42.7421
contig_23	551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
contig_230	733	4.13208	4.13208	0.523762	0	0	0	0	0	0	0	0	0	0	0	0
contig_2300	34211	82.759	3.23126	0.859836	3.07666	13.4823	57.8293	4913.08	0.253927	0.562779	0.654297	0.729565	0.828191	1.18897	16.8853	256.353
